"REF_DATE","GEO","DGUID","Products","Variables","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2021A000011124","Gold, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v1","1.1.1","180000","","","",""
"2020","Canada","2021A000011124","Gold, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v1","1.1.1","182000","","","",""
"2025","Canada","2021A000011124","Gold, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v1","1.1.1","186923","p","","",""
"2025","Quebec","2021A000224","Gold, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v2","2.1.1","57510","p","","",""
"2025","Ontario","2021A000235","Gold, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v3","3.1.1","74883","p","","",""
"2025","Canada","2021A000011124","Gold, recoverable (kilograms)","Quantity shipped","Kilograms","154","units","0","v4","1.1.2","184456","p","","",""
"2025","Canada","2021A000011124","Gold, recoverable (thousands of dollars)","Quantity produced","Thousands of dollars","284","units","0","v5","1.2.1","20801299","p","","",""
"2025","Canada","2021A000011124","Silver, recoverable (kilograms)","Quantity produced","Kilograms","154","units","0","v9","1.6.1","356052","p","","",""
"2025","Canada","2021A000011124","Platinum, recoverable (grams)","Quantity produced","Grams","155","units","0","v10","1.7.1","5801459","p","","",""
"2025","Canada","2021A000011124","Palladium, recoverable (grams)","Quantity produced","Grams","155","units","0","v11","1.8.1","17880581","p","","",""
"2025","Canada","2021A000011124","Rhodium, recoverable (grams)","Quantity produced","Grams","155","units","0","v12","1.9.1","310990","p","","",""
"2025","Canada","2021A000011124","Copper, recoverable (metric tonnes)","Quantity produced","Tonnes","287","units","0","v6","1.3.1","499896","p","","",""
"2025","Canada","2021A000011124","Copper, concentrates (metric tonnes)","Quantity produced","Tonnes","287","units","0","v7","1.4.1","1500000","p","","",""
"2025","Canada","2021A000011124","Total metals recoverable, non-metals and aggregates, clay and refractory minerals (thousands of dollars)","Quantity produced","Thousands of dollars","284","units","0","v8","1.5.1","","..","","",""
